Rank,Run Name,Ratio,Time File,Wavelength File,Time MSE,Wavelength MSE,Region AUC Error,Tau Avg Error,Score,FL,ISC,RP,CT,energy
1,Run_FL16_ISC5_RP2_coupling_CT_300_RP1_20_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.00014243866320741197,0.0026129422987196346,0.0031034470086462877,0.0049304401938822014,0.021091845579432417,16,5,1,300,14580
2,Run_FL16_ISC5_RP3_coupling_CT_300_RP1_20_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.0001891334405726774,0.0026097496455377775,0.003921729319345991,0.003916561224174842,0.021369592745258258,16,5,1,300,14580
3,Run_FL16_ISC5_RP0.8_coupling_CT_100_RP1_200_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.00017149116032361914,0.002577051774632731,0.0055299696544914905,0.005502192792828408,0.023853198186744532,16,5,1,100,14580
4,Run_FL16_ISC5_RP2_coupling_CT_200_RP1_80_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.0002996934107574542,0.0025862658460479113,0.005820880457378373,0.004609984622857798,0.025419330799079876,16,5,1,200,14580
5,Run_FL16_ISC5_RP3_coupling_CT_250_RP1_40_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.0002630135544600929,0.0026049850816595647,0.008140541570862936,0.008057065920391387,0.030606524451969125,16,5,1,250,14580
6,Run_FL16_ISC5_RP1_coupling_CT_100_RP1_150_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.000239333065079317,0.002578637365551281,0.02292675595346391,0.001232171891363118,0.030770273189852433,16,5,1,100,14580
7,Run_FL16_ISC5_RP2_coupling_CT_60_RP1_200_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0003634743936720109,0.0025880488206926323,0.017245854011614447,0.002478141254464288,0.03095405812474293,16,5,1,60,14580
8,Run_FL16_ISC5_RP3_coupling_CT_20_RP1_250_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0002816147027589583,0.002605969012506504,0.012995727339941325,0.005793553360779789,0.031149905479129974,16,5,1,20,14580
9,Run_FL16_ISC5_RP0.6_coupling_CT_100_RP1_250_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,8.937811758664455e-05,0.002582553961395778,0.015172382026088114,0.011612441759935099,0.03548253383991304,16,5,1,100,14580
10,Run_FL16_ISC5_RP3_coupling_CT_60_RP1_150_CT_energy_14580,Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_10pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.00048786338637068024,0.002569930289679963,0.026876336872674274,0.0001463395919663061,0.03582232822534087,16,5,1,60,14580
