Rank,Run Name,Ratio,Time File,Wavelength File,Time MSE,Wavelength MSE,Region AUC Error,Tau Avg Error,Score,FL,ISC,RP,coupling,energy
1,Run_FL16_ISC5_RP2_coupling_250_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.001371817647406779,0.002620971901686693,0.03346551891279637,0.028172456929937414,0.08507528622269757,16,5,2.0,250,14580
2,Run_FL16_ISC5_RP3_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_40pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_0pct_RP1_40pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_40pct_CTRP1_0pct_start_time_0.0.npy,0.000557119852409667,0.0025563018345859355,0.09066269340402787,0.019620337961677805,0.10090700477878624,16,5,3.0,150,14580
3,Run_FL16_ISC5_RP2_coupling_300_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.0013216928783877254,0.002598160765885345,0.06735245564289137,0.024568735958148742,0.10113681447375733,16,5,2.0,300,14580
4,Run_FL16_ISC5_RP2_coupling_150_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_40pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_0pct_RP1_40pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_40pct_CTRP1_0pct_start_time_0.0.npy,0.00044886815005610464,0.0025983591863414737,0.04810152656102069,0.053482471235168534,0.11533424426247149,16,5,2.0,150,14580
5,Run_FL16_ISC5_RP3_coupling_200_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.0018867221889178193,0.0026074850329215827,0.021952467652501296,0.05704982174352286,0.11844825854610247,16,5,3.0,200,14580
6,Run_FL16_ISC5_RP0.2_coupling_50_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,6.64527619807732e-05,0.002939869599614697,0.6684498345351851,0.000659272112342209,0.13775987856426541,16,5,0.2,50,14580
7,Run_FL16_ISC5_RP0.4_coupling_50_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.00010490161356944935,0.0029256623589008347,0.6497177190671667,0.002299706298749523,0.14099095888888769,16,5,0.4,50,14580
8,Run_FL16_ISC5_RP0.6_coupling_100_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.000201446622275042,0.00286548940353485,0.5679586026645982,0.0028161092406107104,0.1437851286309244,16,5,0.6,100,14580
9,Run_FL16_ISC5_RP0.8_coupling_100_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.0003318752507089025,0.0028431142212364344,0.5357506559417441,0.00130686168523865,0.1442847485630922,16,5,0.8,100,14580
10,Run_FL16_ISC5_RP0.8_coupling_200_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_30pct_CTRP1_0pct_start_time_0.0.npy,0.0004384928124934917,0.0027673791827293047,0.39543416696786404,0.0002467690959861549,0.1443389294872246,16,5,0.8,200,14580
