Rank,Run Name,Ratio,Time File,Wavelength File,Time MSE,Wavelength MSE,Region AUC Error,Tau Avg Error,Score,FL,ISC,coupling,energy,model
1,Run_FL16_ISC10_coupling_100_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.023551582620768962,0.007222559674081023,4.315346219272003,0.02805309846846649,0.3674251588104036,16,10,100,14580,2
2,Run_FL16_ISC10_coupling_80_CT_energy_14580_model_2,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0315510764663574,0.004755691293076363,3.1524235607679847,0.08555724819470295,0.44520722627347176,16,10,80,14580,2
3,Run_FL16_ISC10_coupling_150_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.012459958106106454,0.014582777698096341,6.717875294119886,0.25554906506029307,0.45240327833176963,16,10,150,14580,2
4,Run_FL16_ISC10_coupling_60_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.04163535941675021,0.0029134175984530998,1.8861406080056133,0.20619350080869236,0.4715087614691359,16,10,60,14580,2
5,Run_FL16_ISC10_coupling_200_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.009159409114476168,0.023359476404928248,8.76543066237954,0.4040961126594147,0.4775705883725226,16,10,200,14580,2
6,Run_FL16_ISC5_coupling_200_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010575879271235183,0.02275347857776953,8.65001459867834,0.21414683475549,0.488448519099215,16,5,200,14580,2
7,Run_FL16_ISC5_coupling_150_CT_energy_14580_model_2,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.018404303106467075,0.0141805596600627,6.620863421113113,0.3052009295567658,0.49301193816134303,16,5,150,14580,2
8,Run_FL16_ISC5_coupling_250_CT_energy_14580_model_2,Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_10pct_CT_90pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.006771564026115111,0.03401800882761382,10.730163828701109,0.15716077059663813,0.5037484770412783,16,5,250,14580,2
9,Run_FL16_ISC5_coupling_100_CT_energy_14580_model_2,Monomer_0pct_CT_100pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_100pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_100pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.03389239458507308,0.007009233612813157,4.2398259978923685,0.44107597686223987,0.5063837922697259,16,5,100,14580,2
10,Run_FL16_ISC5_coupling_80_CT_energy_14580_model_2,Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_70pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.043022506717858615,0.004619864069477542,3.089424106883438,0.507374542698596,0.510087533202874,16,5,80,14580,2
