# Wavelength (nm), Normalized Intensity
7.354953901767087245e+02,3.336382893353224011e-03
7.347743212603243137e+02,3.373264346510351612e-03
7.340546648100040557e+02,3.411380896656629903e-03
7.333364166795945494e+02,3.450789408786395472e-03
7.326195727391536821e+02,3.491550166861933941e-03
7.319041288748722991e+02,3.533727136798885549e-03
7.311900809889946231e+02,3.577388255099571597e-03
7.304774249997404922e+02,3.622605746246998753e-03
7.297661568412277120e+02,3.669456472424636063e-03
7.290562724633945209e+02,3.718022319654589337e-03
7.283477678319223969e+02,3.768390625062640470e-03
7.276406389281602287e+02,3.820654650699772861e-03
7.269348817490482588e+02,3.874914110194776183e-03
7.262304923070416862e+02,3.931275755505217982e-03
7.255274666300371109e+02,3.989854032201938308e-03
7.248258007612963638e+02,4.050771813098224920e-03
7.241254907593732923e+02,4.114161221659251577e-03
7.234265326980392956e+02,4.180164558547772372e-03
7.227289226662102237e+02,4.248935346935600599e-03
7.220326567678739593e+02,4.320639514906772852e-03
7.213377311220166348e+02,4.395456736479783251e-03
7.206441418625515780e+02,4.473581956583453853e-03
7.199518851382475759e+02,4.555227129854447742e-03
7.192609571126569108e+02,4.640623208529333528e-03
7.185713539640449881e+02,4.730022421156915291e-03
7.178830718853198505e+02,4.823700891568756532e-03
7.171961070839620334e+02,4.921961656775718751e-03
7.165104557819548745e+02,5.025138153515761041e-03
7.158261142157153927e+02,5.133598256441600227e-03
7.151430786360251659e+02,5.247748966862866675e-03
7.144613453079623469e+02,5.368041870101635318e-03
7.137809105108327685e+02,5.494979502558143200e-03
7.131017705381029828e+02,5.629122797336207767e-03
7.124239216973331850e+02,5.771099810745291235e-03
7.117473603101088884e+02,5.921615972398732580e-03
7.110720827119762362e+02,6.081466150453700495e-03
7.103980852523744716e+02,6.251548882609058756e-03
7.097253642945709089e+02,6.432883195020656225e-03
7.090539162155947679e+02,6.626628518043586186e-03
7.083837374061730543e+02,6.834108313023371309e-03
7.077148242706654173e+02,7.056838152366120762e-03
7.070471732269996892e+02,7.296559150912778138e-03
7.063807807066079931e+02,7.555277836519470012e-03
7.057156431543637609e+02,7.835313779492453223e-03
7.050517570285177271e+02,8.139356583804923176e-03
7.043891188006354014e+02,8.470534189832535157e-03
7.037277249555344270e+02,8.832494863615323114e-03
7.030675719912229624e+02,9.229505769955710995e-03
7.024086564188369266e+02,9.666571669095520847e-03
7.017509747625794034e+02,1.014957806792903851e-02
7.010945235596591374e+02,1.068546413207843368e-02
7.004392993602297111e+02,1.128243186798458773e-02
6.997852987273289500e+02,1.195019956673965336e-02
6.991325182368198057e+02,1.270030932548638948e-02
6.984809544773293055e+02,1.354650069830297399e-02
6.978306040501896632e+02,1.450516525234873781e-02
6.971814635693795026e+02,1.559590008950782758e-02
6.965335296614645131e+02,1.684218229211052395e-02
6.958867989655398105e+02,1.827219076649705051e-02
6.952412681331704789e+02,1.991980698942149089e-02
6.945969338283354091e+02,2.182583141648176961e-02
6.939537927273688638e+02,2.403945716306006564e-02
6.933118415189031793e+02,2.662004584490865536e-02
6.926710769038124909e+02,2.963925014261584515e-02
6.920314955951560023e+02,3.318352043955923036e-02
6.913930943181219391e+02,3.735701371300630125e-02
6.907558698099711592e+02,4.228488439234218133e-02
6.901198188199820152e+02,4.811686925191856895e-02
6.894849381093951024e+02,5.503096964300391303e-02
6.888512244513578935e+02,6.323687278753138685e-02
6.882186746308705096e+02,7.297853358042810656e-02
6.875872854447311511e+02,8.453505488759233133e-02
6.869570537014819820e+02,9.821832443056860429e-02
6.863279762213552431e+02,1.143779551194921973e-01
6.857000498362203871e+02,1.333321668055953424e-01
6.850732713895300776e+02,1.554673170685668959e-01
6.844476377362675521e+02,1.811623216613082732e-01
6.838231457428947806e+02,2.107757266455104472e-01
6.831997922872988056e+02,2.447268394605199848e-01
6.825775742587408104e+02,2.831110324598206662e-01
6.819564885578037092e+02,3.257475611217215961e-01
6.813365320963412159e+02,3.720635753788732458e-01
6.807177017974264572e+02,4.208170752414354121e-01
6.800999945953004726e+02,4.707655967625483662e-01
6.794834074353226470e+02,5.211150664617485440e-01
6.788679372739196651e+02,5.713664729529106534e-01
