# Wavelength (nm), Normalized Intensity
7.457410250635272178e+02,3.600124693980447446e-03
7.449997370051579537e+02,3.732148922188847657e-03
7.442599212066825203e+02,3.879002517863898783e-03
7.435215732864053280e+02,4.042617967438571179e-03
7.427846888800020224e+02,4.225192405327474719e-03
7.420492636404320592e+02,4.429224726011638663e-03
7.413152932378534388e+02,4.657557726775139739e-03
7.405827733595386917e+02,4.913425727602817317e-03
7.398516997097893864e+02,5.200507982219979876e-03
7.391220680098527964e+02,5.522987932678700800e-03
7.383938739978375452e+02,5.885617903196464773e-03
7.376671134286318647e+02,6.293788089728775438e-03
7.369417820738204910e+02,6.753597572374744895e-03
7.362178757216021268e+02,7.271923439964882684e-03
7.354953901767087245e+02,7.856481867553180565e-03
7.347743212603243137e+02,8.515872096648337622e-03
7.340546648100040557e+02,9.259590876678807508e-03
7.333364166795945494e+02,1.009800151874190935e-02
7.326195727391536821e+02,1.104223937882195875e-02
7.319041288748722991e+02,1.210403652199248947e-02
7.311900809889946231e+02,1.329545313566166988e-02
7.304774249997404922e+02,1.462806375316200863e-02
7.297661568412277120e+02,1.611533292311501109e-02
7.290562724633945209e+02,1.776417284695354717e-02
7.283477678319223969e+02,1.959274818692207515e-02
7.276406389281602287e+02,2.160859583889058674e-02
7.269348817490482588e+02,2.382009860044916744e-02
7.262304923070416862e+02,2.623062268631316460e-02
7.255274666300371109e+02,2.883547342022048376e-02
7.248258007612963638e+02,3.163367701521922759e-02
7.241254907593732923e+02,3.460094250031887919e-02
7.234265326980392956e+02,3.771030021430873264e-02
7.227289226662102237e+02,4.094412220718086914e-02
7.220326567678739593e+02,4.427749753286705503e-02
7.213377311220166348e+02,4.768052094686362624e-02
7.206441418625515780e+02,5.113917496399522644e-02
7.199518851382475759e+02,5.459495693754464613e-02
7.192609571126569108e+02,5.803293445586013566e-02
7.185713539640449881e+02,6.142733738684279937e-02
7.178830718853198505e+02,6.476252002494306548e-02
7.171961070839620334e+02,6.803178527187256353e-02
7.165104557819548745e+02,7.117742577474200916e-02
7.158261142157153927e+02,7.415543783950839796e-02
7.151430786360251659e+02,7.695499968436327054e-02
7.144613453079623469e+02,7.954242307479697516e-02
7.137809105108327685e+02,8.195365916247478177e-02
7.131017705381029828e+02,8.422718242131554955e-02
7.124239216973331850e+02,8.635057789234537595e-02
7.117473603101088884e+02,8.837190409639854305e-02
7.110720827119762362e+02,9.031537212958040683e-02
7.103980852523744716e+02,9.225733189030349557e-02
7.097253642945709089e+02,9.421349693987607354e-02
7.090539162155947679e+02,9.629385280816882275e-02
7.083837374061730543e+02,9.851162489825830704e-02
7.077148242706654173e+02,1.009453592274864864e-01
7.070471732269996892e+02,1.035899614661911911e-01
7.063807807066079931e+02,1.065387785641494500e-01
7.057156431543637609e+02,1.097875504538384922e-01
7.050517570285177271e+02,1.134032391252996347e-01
7.043891188006354014e+02,1.173583722705336674e-01
7.037277249555344270e+02,1.216446029227874898e-01
7.030675719912229624e+02,1.263490963727744998e-01
7.024086564188369266e+02,1.315311105372619638e-01
7.017509747625794034e+02,1.372427519642518134e-01
7.010945235596591374e+02,1.434970907118541528e-01
7.004392993602297111e+02,1.503815557598651431e-01
6.997852987273289500e+02,1.579098050116277963e-01
6.991325182368198057e+02,1.661267729318356978e-01
6.984809544773293055e+02,1.750638791844259801e-01
6.978306040501896632e+02,1.847661318045718259e-01
6.971814635693795026e+02,1.952297849783816708e-01
6.965335296614645131e+02,2.065871259937155369e-01
6.958867989655398105e+02,2.188164842456031545e-01
6.952412681331704789e+02,2.319531620329270960e-01
6.945969338283354091e+02,2.460264445177610948e-01
6.939537927273688638e+02,2.611205952634222394e-01
6.933118415189031793e+02,2.773408374872250448e-01
6.926710769038124909e+02,2.947003893389322782e-01
6.920314955951560023e+02,3.133801902943265105e-01
6.913930943181219391e+02,3.334375849894443133e-01
6.907558698099711592e+02,3.550432692737239271e-01
6.901198188199820152e+02,3.782533952921110498e-01
6.894849381093951024e+02,4.032460770708859443e-01
6.888512244513578935e+02,4.300638382805674897e-01
6.882186746308705096e+02,4.589483230127210933e-01
6.875872854447311511e+02,4.898809731082078289e-01
